Date,Total Q cms,SP,w_est,unit_SP
2016-11-18,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
2017-09-16,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
2018-06-16,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
2015-09-09,0.38510848,18.70067523456,11.8613401990691,1.57660727377398
2016-10-14,0.38510848,18.70067523456,11.8613401990691,1.57660727377398
2016-11-07,0.38510848,18.70067523456,11.8613401990691,1.57660727377398
2016-11-13,0.38510848,18.70067523456,11.8613401990691,1.57660727377398
2017-08-24,0.38510848,18.70067523456,11.8613401990691,1.57660727377398
2015-06-17,0.3822768,18.5631702696,11.8228859641834,1.57010482261572
2015-07-30,0.3822768,18.5631702696,11.8228859641834,1.57010482261572
2016-11-16,0.3822768,18.5631702696,11.8228859641834,1.57010482261572
2017-10-25,0.3822768,18.5631702696,11.8228859641834,1.57010482261572
2015-11-13,0.37944512,18.42566530464,11.7842718822579,1.56358114347151
2016-05-13,0.37944512,18.42566530464,11.7842718822579,1.56358114347151
2017-08-25,0.37944512,18.42566530464,11.7842718822579,1.56358114347151
2017-09-25,0.37944512,18.42566530464,11.7842718822579,1.56358114347151
2016-10-11,0.37661344,18.28816033968,11.7454960884585,1.55703600784054
2018-06-25,0.37661344,18.28816033968,11.7454960884585,1.55703600784054
2015-06-22,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2015-11-24,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2016-04-29,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2016-05-12,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2016-05-26,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2017-09-06,0.37378176,18.15065537472,11.7065566819795,1.55046918302289
2016-05-03,0.37095008,18.01315040976,11.6674517250723,1.54388043200996
2016-10-20,0.37095008,18.01315040976,11.6674517250723,1.54388043200996
2016-10-21,0.37095008,18.01315040976,11.6674517250723,1.54388043200996
2016-11-08,0.37095008,18.01315040976,11.6674517250723,1.54388043200996
2017-09-21,0.37095008,18.01315040976,11.6674517250723,1.54388043200996
2015-07-27,0.3681184,17.8756454448,11.6281792420385,1.53726951337106
2016-02-26,0.3681184,17.8756454448,11.6281792420385,1.53726951337106
2016-11-19,0.3681184,17.8756454448,11.6281792420385,1.53726951337106
2017-09-19,0.3681184,17.8756454448,11.6281792420385,1.53726951337106
2017-10-17,0.3681184,17.8756454448,11.6281792420385,1.53726951337106
2016-10-15,0.36528672,17.73814047984,11.5887372181888,1.53063618113625
2016-11-03,0.36528672,17.73814047984,11.5887372181888,1.53063618113625
2015-06-28,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2016-03-03,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2016-04-30,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2016-06-01,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2017-09-07,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2018-07-01,0.36245504,17.60063551488,11.5491235987644,1.52398018467506
2015-07-29,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2015-10-21,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2016-03-02,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2016-05-14,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2017-09-15,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2018-06-19,0.35962336,17.46313054992,11.5093362878202,1.51730126857102
2015-11-25,0.35679168,17.32562558496,11.4693731470677,1.51059917249179
2016-09-07,0.35679168,17.32562558496,11.4693731470677,1.51059917249179
2016-11-12,0.35679168,17.32562558496,11.4693731470677,1.51059917249179
2017-08-29,0.35679168,17.32562558496,11.4693731470677,1.51059917249179
2018-06-18,0.35679168,17.32562558496,11.4693731470677,1.51059917249179
2015-07-18,0.35396,17.18812062,11.4292319946758,1.50387363105473
2015-07-25,0.35396,17.18812062,11.4292319946758,1.50387363105473
2015-08-09,0.35396,17.18812062,11.4292319946758,1.50387363105473
2018-07-02,0.35396,17.18812062,11.4292319946758,1.50387363105473
2015-08-02,0.35112832,17.05061565504,11.3889106040281,1.49712437368763
2016-05-18,0.35112832,17.05061565504,11.3889106040281,1.49712437368763
2016-10-13,0.35112832,17.05061565504,11.3889106040281,1.49712437368763
2018-07-09,0.35112832,17.05061565504,11.3889106040281,1.49712437368763
2018-07-13,0.35112832,17.05061565504,11.3889106040281,1.49712437368763
2015-08-03,0.34829664,16.91311069008,11.3484067024339,1.49035112448451
2015-06-19,0.34546496,16.77560572512,11.3077179697918,1.48355360205618
2016-11-09,0.34546496,16.77560572512,11.3077179697918,1.48355360205618
2016-11-14,0.34546496,16.77560572512,11.3077179697918,1.48355360205618
2017-08-30,0.34546496,16.77560572512,11.3077179697918,1.48355360205618
2018-06-20,0.34546496,16.77560572512,11.3077179697918,1.48355360205618
2015-06-20,0.34263328,16.63810076016,11.2668420372028,1.47673151937529
2015-07-31,0.34263328,16.63810076016,11.2668420372028,1.47673151937529
2015-08-04,0.34263328,16.63810076016,11.2668420372028,1.47673151937529
2016-05-11,0.34263328,16.63810076016,11.2668420372028,1.47673151937529
2018-07-10,0.34263328,16.63810076016,11.2668420372028,1.47673151937529
2016-09-30,0.3398016,16.5005957952,11.2257764855316,1.46988458361583
2016-10-05,0.3398016,16.5005957952,11.2257764855316,1.46988458361583
2017-09-08,0.3398016,16.5005957952,11.2257764855316,1.46988458361583
2017-09-09,0.3398016,16.5005957952,11.2257764855316,1.46988458361583
2017-09-18,0.33696992,16.36309083024,11.1845188439121,1.46301249598651
2018-06-21,0.33696992,16.36309083024,11.1845188439121,1.46301249598651
2018-06-23,0.33696992,16.36309083024,11.1845188439121,1.46301249598651
2018-06-30,0.33696992,16.36309083024,11.1845188439121,1.46301249598651
2016-06-06,0.33413824,16.22558586528,11.1430665881967,1.45611495155804
2016-10-10,0.33413824,16.22558586528,11.1430665881967,1.45611495155804
2016-11-10,0.33413824,16.22558586528,11.1430665881967,1.45611495155804
2016-03-01,0.33130656,16.08808090032,11.1014171393447,1.4491916390838
2017-09-26,0.33130656,16.08808090032,11.1014171393447,1.4491916390838
2018-07-11,0.33130656,16.08808090032,11.1014171393447,1.4491916390838
2015-11-14,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2016-05-30,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2016-06-02,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2016-11-04,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2017-09-14,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2017-09-20,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2018-06-27,0.32847488,15.95057593536,11.059567861748,1.44224224081383
2016-04-24,0.3256432,15.8130709704,11.0175160614905,1.4352664323015
2016-11-11,0.3256432,15.8130709704,11.0175160614905,1.4352664323015
2016-11-15,0.3256432,15.8130709704,11.0175160614905,1.4352664323015
2018-07-06,0.3256432,15.8130709704,11.0175160614905,1.4352664323015
2016-06-05,0.32281152,15.67556600544,10.9752589845394,1.42826388220286
2016-11-05,0.32281152,15.67556600544,10.9752589845394,1.42826388220286
2017-08-31,0.32281152,15.67556600544,10.9752589845394,1.42826388220286
2018-06-22,0.32281152,15.67556600544,10.9752589845394,1.42826388220286
2016-08-05,0.31997984,15.53806104048,10.9327938148622,1.42123425206807
2016-10-02,0.31997984,15.53806104048,10.9327938148622,1.42123425206807
2018-07-03,0.31997984,15.53806104048,10.9327938148622,1.42123425206807
2018-07-05,0.31997984,15.53806104048,10.9327938148622,1.42123425206807
2016-10-09,0.31714816,15.40055607552,10.8901176724691,1.41417719612467
2018-06-26,0.31714816,15.40055607552,10.8901176724691,1.41417719612467
2018-06-28,0.31714816,15.40055607552,10.8901176724691,1.41417719612467
2018-06-29,0.31714816,15.40055607552,10.8901176724691,1.41417719612467
2018-07-16,0.31714816,15.40055607552,10.8901176724691,1.41417719612467
2015-07-28,0.31431648,15.26305111056,10.8472276113748,1.4070923610522
2015-08-08,0.31431648,15.26305111056,10.8472276113748,1.4070923610522
2015-08-10,0.31431648,15.26305111056,10.8472276113748,1.4070923610522
2016-09-28,0.31431648,15.26305111056,10.8472276113748,1.4070923610522
2015-06-18,0.3114848,15.1255461456,10.8041206174763,1.39997938574783
2016-09-09,0.3114848,15.1255461456,10.8041206174763,1.39997938574783
2015-08-24,0.30865312,14.98804118064,10.7607936063429,1.39283790108244
2016-08-07,0.30865312,14.98804118064,10.7607936063429,1.39283790108244
2016-10-12,0.30865312,14.98804118064,10.7607936063429,1.39283790108244
2018-07-04,0.30865312,14.98804118064,10.7607936063429,1.39283790108244
2018-07-07,0.30865312,14.98804118064,10.7607936063429,1.39283790108244
2015-09-08,0.30582144,14.85053621568,10.7172434209129,1.38566752964682
2015-10-24,0.30582144,14.85053621568,10.7172434209129,1.38566752964682
2018-07-08,0.30582144,14.85053621568,10.7172434209129,1.38566752964682
2015-09-12,0.30015808,14.57552628576,10.6294605212567,1.37123857383091
2018-07-15,0.30015808,14.57552628576,10.6294605212567,1.37123857383091
2018-07-22,0.30015808,14.57552628576,10.6294605212567,1.37123857383091
2015-06-23,0.2973264,14.4380213208,10.5852211076306,1.36397919079764
2016-05-19,0.2973264,14.4380213208,10.5852211076306,1.36397919079764
2016-05-21,0.2973264,14.4380213208,10.5852211076306,1.36397919079764
2018-07-21,0.2973264,14.4380213208,10.5852211076306,1.36397919079764
2016-06-04,0.29449472,14.30051635584,10.5407451155722,1.35668932310234
2018-07-20,0.29449472,14.30051635584,10.5407451155722,1.35668932310234
2016-03-04,0.29166304,14.16301139088,10.4960289867243,1.34936854774256
2016-10-08,0.29166304,14.16301139088,10.4960289867243,1.34936854774256
2017-09-10,0.29166304,14.16301139088,10.4960289867243,1.34936854774256
2017-09-11,0.29166304,14.16301139088,10.4960289867243,1.34936854774256
2018-07-19,0.29166304,14.16301139088,10.4960289867243,1.34936854774256
2016-04-23,0.28883136,14.02550642592,10.4510690740443,1.34201643167329
2016-06-09,0.28883136,14.02550642592,10.4510690740443,1.34201643167329
2016-10-07,0.28883136,14.02550642592,10.4510690740443,1.34201643167329
2018-07-14,0.28883136,14.02550642592,10.4510690740443,1.34201643167329
